x,y,z
-90.8296,225.356,189.979
-90.7048,225.381,189.98
-90.5801,225.406,189.98
-90.4553,225.432,189.98
-90.3305,225.457,189.98
-90.2057,225.482,189.981
-90.0808,225.507,189.981
-89.9559,225.532,189.981
-89.8309,225.557,189.981
-89.706,225.583,189.982
-89.581,225.608,189.982
-89.4559,225.633,189.982
-89.3308,225.659,189.982
-89.2057,225.684,189.982
-89.0806,225.709,189.983
-88.9554,225.734,189.983
-88.8302,225.76,189.983
-88.7049,225.785,189.983
-88.5796,225.811,189.984
-88.4543,225.836,189.984
-88.329,225.861,189.984
-88.2036,225.887,189.984
-88.0782,225.912,189.984
-87.9527,225.938,189.985
-87.8272,225.963,189.985
-87.7017,225.989,189.985
-87.5762,226.015,189.985
-87.4506,226.04,189.986
-87.325,226.066,189.986
-87.1994,226.091,189.986
-87.0737,226.117,189.986
-86.948,226.143,189.987
-86.8223,226.169,189.987
-86.6965,226.194,189.987
-86.5707,226.22,189.987
-86.4449,226.246,189.988
-86.319,226.272,189.988
-86.1931,226.297,189.988
-86.0672,226.323,189.988
-85.9412,226.349,189.988
-85.8152,226.375,189.989
-85.6892,226.401,189.989
-85.5631,226.427,189.989
-85.437,226.453,189.989
-85.3108,226.479,189.99
-85.1846,226.505,189.99
-85.0584,226.531,189.99
-84.9322,226.557,189.99
-84.8059,226.583,189.99
-84.6796,226.609,189.991
-84.5533,226.635,189.991
-84.4269,226.661,189.991
-84.3005,226.687,189.991
-84.174,226.714,189.992
-84.0476,226.74,189.992
-83.9211,226.766,189.992
-83.7945,226.792,189.992
-83.668,226.819,189.992
-83.5414,226.845,189.993
-83.4147,226.871,189.993
-83.2881,226.897,189.993
-83.1614,226.924,189.993
-83.0346,226.95,189.993
-82.9079,226.977,189.994
-82.7811,227.003,189.994
-82.6542,227.029,189.994
-82.5273,227.056,189.994
-82.4004,227.082,189.994
-82.2735,227.109,189.995
-82.1465,227.135,189.995
-82.0195,227.162,189.995
-81.8924,227.189,189.995
-81.7654,227.215,189.996
-81.6382,227.242,189.996
-81.5111,227.268,189.996
-81.3839,227.295,189.996
-81.2567,227.322,189.996
-81.1294,227.349,189.997
-81.0021,227.375,189.997
-80.8748,227.402,189.997
-80.7475,227.429,189.997
-80.6201,227.456,189.997
-80.4927,227.483,189.998
-80.3653,227.51,189.998
-80.2378,227.536,189.998
-80.1103,227.563,189.998
-79.9828,227.59,189.998
-79.8552,227.617,189.999
-79.7276,227.644,189.999
-79.6,227.671,189.999
-79.4724,227.698,189.999
-79.3447,227.725,189.999
-79.217,227.752,190.0
-79.0892,227.779,190.0
-78.9614,227.807,190.0
-78.8336,227.834,190.0
-78.7058,227.861,190.0
-78.5779,227.888,190.001
-78.45,227.915,190.001
-78.3221,227.942,190.001
-78.1941,227.97,190.001
-78.0661,227.997,190.001
-77.9381,228.024,190.001
-77.81,228.052,190.002
-77.6819,228.079,190.002
-77.5537,228.106,190.002
-77.4256,228.134,190.002
-77.2974,228.161,190.002
-77.1692,228.189,190.002
-77.0409,228.216,190.002
-76.9126,228.243,190.003
-76.7843,228.271,190.003
-76.6559,228.299,190.003
-76.5275,228.326,190.003
-76.3991,228.354,190.003
-76.2706,228.381,190.004
-76.1422,228.409,190.004
-76.0137,228.437,190.004
-75.8851,228.464,190.004
-75.7565,228.492,190.004
-75.6279,228.52,190.004
-75.4993,228.547,190.005
-75.3707,228.575,190.005
-75.242,228.603,190.005
-75.1133,228.631,190.005
-74.9845,228.659,190.005
-74.8557,228.687,190.005
-74.7269,228.714,190.005
-74.5981,228.742,190.006
-74.4692,228.77,190.006
-74.3403,228.798,190.006
-74.2114,228.826,190.006
-74.0824,228.854,190.006
-73.9534,228.882,190.006
-73.8244,228.91,190.006
-73.6953,228.938,190.007
-73.5662,228.966,190.007
-73.4371,228.995,190.007
-73.3079,229.023,190.007
-73.1788,229.051,190.007
-73.0495,229.079,190.007
-72.9203,229.107,190.007
-72.791,229.136,190.008
-72.6617,229.164,190.008
-72.5323,229.192,190.008
-72.4029,229.22,190.008
-72.2735,229.249,190.008
-72.1441,229.277,190.008
-72.0146,229.305,190.008
-71.8851,229.334,190.009
-71.7555,229.362,190.009
-71.626,229.391,190.009
-71.4964,229.419,190.009
-71.3667,229.447,190.009
-71.2371,229.476,190.009
-71.1074,229.504,190.009
-70.9777,229.533,190.01
-70.8479,229.561,190.01
-70.7181,229.59,190.01
-70.5883,229.619,190.01
-70.4585,229.647,190.01
-70.3286,229.676,190.01
-70.1987,229.704,190.01
-70.0687,229.733,190.01
-69.9388,229.762,190.01
-69.8088,229.79,190.01
-69.6788,229.819,190.011
-69.5487,229.848,190.011
-69.4186,229.877,190.011
-69.2885,229.905,190.011
-69.1583,229.934,190.011
-69.0282,229.963,190.011
-68.8979,229.992,190.011
-68.7677,230.021,190.011
-68.6374,230.05,190.011
-68.5071,230.079,190.011
-68.3768,230.108,190.011
-68.2465,230.137,190.011
-68.1161,230.165,190.011
-67.9857,230.195,190.011
-67.8552,230.224,190.011
-67.7248,230.253,190.011
-67.5943,230.282,190.011
-67.4637,230.311,190.011
-67.3332,230.34,190.011
-67.2026,230.369,190.011
-67.072,230.398,190.011
-66.9414,230.427,190.011
-66.8107,230.457,190.011
-66.68,230.486,190.011
-66.5493,230.515,190.011
-66.4186,230.545,190.011
-66.2878,230.574,190.011
-66.157,230.604,190.011
-66.0262,230.633,190.011
-65.8954,230.663,190.011
-65.7645,230.692,190.011
-65.6337,230.722,190.01
-65.5028,230.751,190.01
-65.3718,230.781,190.01
-65.2409,230.811,190.01
-65.1099,230.84,190.01
-64.9789,230.87,190.01
-64.8479,230.9,190.01
-64.7168,230.93,190.01
-64.5858,230.96,190.01
-64.4547,230.99,190.01
-64.3236,231.02,190.009
-64.1925,231.05,190.009
-64.0613,231.08,190.009
-63.9302,231.111,190.009
-63.799,231.141,190.009
-63.6678,231.171,190.009
-63.5365,231.201,190.009
-63.4053,231.232,190.009
-63.274,231.262,190.008
-63.1427,231.293,190.008
-63.0114,231.323,190.008
-62.8801,231.354,190.008
-62.7487,231.385,190.008
-62.6173,231.416,190.008
-62.4859,231.446,190.008
-62.3545,231.477,190.008
-62.2231,231.508,190.007
-62.0917,231.539,190.007
-61.9602,231.57,190.007
-61.8287,231.601,190.007
-61.6972,231.633,190.007
-61.5657,231.664,190.007
-61.4342,231.695,190.007
-61.3027,231.727,190.007
-61.1711,231.758,190.007
-61.0395,231.789,190.007
-60.908,231.821,190.006
-60.7763,231.853,190.006
-60.6447,231.884,190.006
-60.5131,231.916,190.006
-60.3814,231.948,190.006
-60.2498,231.98,190.006
-60.1181,232.012,190.006
-59.9864,232.044,190.006
-59.8547,232.076,190.006
-59.7229,232.108,190.005
-59.5912,232.14,190.005
-59.4594,232.172,190.005
-59.3276,232.205,190.005
-59.1958,232.237,190.005
-59.064,232.269,190.005
-58.9322,232.302,190.005
-58.8003,232.334,190.005
-58.6684,232.367,190.005
-58.5366,232.4,190.005
-58.4047,232.432,190.004
-58.2727,232.465,190.004
-58.1408,232.498,190.004
-58.0089,232.531,190.004
-57.8769,232.564,190.004
-57.7449,232.597,190.004
-57.613,232.63,190.004
-57.481,232.663,190.004
-57.349,232.697,190.003
-57.2169,232.73,190.003
-57.0849,232.763,190.003
-56.9528,232.797,190.003
-56.8208,232.83,190.003
-56.6887,232.864,190.003
-56.5566,232.897,190.003
-56.4245,232.931,190.002
-56.2924,232.965,190.002
-56.1603,232.998,190.002
-56.0281,233.032,190.002
-55.896,233.066,190.002
-55.7638,233.1,190.002
-55.6316,233.134,190.001
-55.4995,233.168,190.001
-55.3673,233.203,190.001
-55.2351,233.237,190.001
-55.1029,233.271,190.001
-54.9706,233.306,190.0
-54.8384,233.34,190.0
-54.7062,233.375,190.0
-54.5739,233.409,190.0
-54.4417,233.444,190.0
-54.3094,233.478,189.999
-54.1771,233.513,189.999
-54.0449,233.548,189.999
-53.9126,233.583,189.999
-53.7803,233.618,189.999
-53.648,233.653,189.998
-53.5157,233.688,189.998
-53.3833,233.723,189.998
-53.251,233.758,189.998
-53.1187,233.794,189.997
-52.9863,233.829,189.997
-52.854,233.864,189.997
-52.7216,233.9,189.997
-52.5892,233.935,189.996
-52.4568,233.971,189.996
-52.3244,234.006,189.996
-52.192,234.042,189.996
-52.0596,234.078,189.995
-51.9272,234.113,189.995
-51.7947,234.149,189.995
-51.6623,234.185,189.995
-51.5298,234.221,189.994
-51.3973,234.257,189.994
-51.2649,234.293,189.994
-51.1324,234.329,189.994
-50.9999,234.365,189.994
-50.8674,234.402,189.993
-50.7349,234.438,189.993
-50.6023,234.474,189.993
-50.4698,234.511,189.993
-50.3372,234.547,189.992
-50.2047,234.584,189.992
-50.0721,234.62,189.992
-49.9396,234.657,189.992
-49.807,234.693,189.991
-49.6744,234.73,189.991
-49.5418,234.767,189.991
-49.4091,234.804,189.99
-49.2765,234.84,189.99
-49.1438,234.877,189.99
-49.0112,234.914,189.99
-48.8785,234.951,189.989
-48.7458,234.988,189.989
-48.6131,235.025,189.989
-48.4804,235.062,189.989
-48.3476,235.1,189.988
-48.2149,235.137,189.988
-48.0821,235.174,189.988
-47.9494,235.211,189.988
-47.8166,235.249,189.988
-47.6838,235.286,189.987
-47.551,235.323,189.987
-47.4181,235.361,189.987
-47.2853,235.398,189.987
-47.1524,235.436,189.986
-47.0196,235.473,189.986
-46.8867,235.511,189.986
-46.7538,235.549,189.986
-46.6209,235.586,189.985
-46.4879,235.624,189.985
-46.355,235.662,189.985
-46.222,235.7,189.985
-46.089,235.738,189.984
-45.9561,235.775,189.984
-45.8231,235.813,189.984
-45.69,235.851,189.984
-45.557,235.889,189.983
-45.424,235.927,189.983
-45.2909,235.965,189.983
-45.1578,236.003,189.983
-45.0247,236.041,189.982
-44.8916,236.079,189.982
-44.7585,236.118,189.982
-44.6253,236.156,189.981
-44.4921,236.194,189.981
-44.3589,236.232,189.981
-44.2257,236.27,189.981
-44.0925,236.309,189.98
-43.9593,236.347,189.98
-43.826,236.385,189.98
-43.6927,236.424,189.98
-43.5594,236.462,189.979
-43.4261,236.501,189.979
-43.2927,236.539,189.979
-43.1593,236.578,189.978
-43.0259,236.616,189.978
-42.8925,236.655,189.978
-42.7591,236.693,189.978
-42.6256,236.732,189.977
-42.4921,236.77,189.977
-42.3586,236.809,189.977
-42.2251,236.848,189.977
-42.0916,236.886,189.976
-41.958,236.925,189.976
