x,y,z
-87.1408,95.9057,192.183
-84.2722,97.6802,192.183
-81.3713,99.3531,192.184
-78.4417,100.924,192.178
-75.4881,102.396,192.157
-72.5108,103.756,192.128
-69.5124,105.004,192.097
-66.4968,106.143,192.066
-63.4689,107.189,192.032
-60.4307,108.159,191.997
-57.3801,109.067,191.963
-54.3155,109.909,191.926
-51.2341,110.668,191.893
-48.1348,111.333,191.864
-45.0152,111.903,191.838
-41.8736,112.387,191.814
-38.7108,112.8,191.787
-35.5279,113.156,191.755
-32.3244,113.468,191.72
-29.1009,113.741,191.681
-25.8585,113.976,191.637
-22.5972,114.171,191.591
-19.318,114.321,191.546
-16.0218,114.42,191.501
-12.7115,114.455,191.452
-9.39181,114.412,191.399
-6.06851,114.271,191.348
-2.74734,114.041,191.284
0.569291,113.714,191.208
3.87856,113.284,191.132
7.17761,112.758,191.054
10.4681,112.15,190.977
13.7526,111.476,190.91
17.0339,110.742,190.851
20.3135,109.96,190.788
23.5805,109.152,190.717
26.8447,108.335,190.648
30.1194,107.489,190.622
33.3994,106.622,190.584
36.6861,105.729,190.544
39.9805,104.816,190.521
43.2826,103.885,190.512
46.5956,102.949,190.502
49.9224,102.018,190.497
53.2622,101.091,190.499
56.6144,100.164,190.509
59.9777,99.2366,190.513
63.3558,98.3279,190.514
66.7522,97.4731,190.505
70.1638,96.7066,190.499
73.5763,96.0361,190.504
76.9818,95.4498,190.514
80.3768,94.9231,190.526
83.7583,94.4297,190.54
87.1245,93.9501,190.554
90.4743,93.476,190.568
93.8077,93.0054,190.583
97.1247,92.5385,190.598
100.415,92.0775,190.613
103.655,91.6274,190.627
106.842,91.1899,190.641
109.983,90.7654,190.655
113.1,90.3518,190.669
116.205,89.9488,190.682
119.296,89.5569,190.694
122.374,89.1775,190.707
125.424,88.8168,190.717
128.434,88.4837,190.727
131.406,88.1854,190.734
134.341,87.9251,190.74
137.249,87.699,190.744
140.149,87.5017,190.746
143.035,87.3267,190.75
145.891,87.1731,190.755
148.704,87.045,190.761
151.493,86.9473,190.766
154.263,86.8831,190.771
157.017,86.8554,190.776
159.752,86.8714,190.781
162.461,86.9455,190.787
165.127,87.0929,190.793
167.738,87.3253,190.799
170.291,87.6507,190.804
172.796,88.0775,190.809
175.254,88.6103,190.813
177.66,89.2484,190.816
180.01,89.9899,190.818
182.3,90.8313,190.819
184.526,91.7675,190.815
186.685,92.7931,190.803
188.771,93.9068,190.786
190.783,95.1062,190.763
192.714,96.3873,190.733
194.562,97.7475,190.696
196.319,99.1841,190.653
197.976,100.696,190.61
199.524,102.284,190.573
200.966,103.936,190.535
202.303,105.643,190.49
203.535,107.399,190.439
204.659,109.197,190.38
205.669,111.034,190.318
206.562,112.909,190.256
207.337,114.817,190.195
207.997,116.75,190.132
208.544,118.703,190.067
208.977,120.672,190.0
209.295,122.655,189.935
209.498,124.649,189.873
209.592,126.652,189.812
209.579,128.657,189.749
209.451,130.662,189.69
209.213,132.666,189.632
208.87,134.665,189.571
208.424,136.657,189.51
207.873,138.632,189.448
207.216,140.585,189.386
206.45,142.511,189.326
205.578,144.402,189.266
204.6,146.249,189.205
203.517,148.048,189.145
202.331,149.792,189.085
201.044,151.477,189.029
199.658,153.104,188.974
198.18,154.672,188.92
196.613,156.177,188.869
194.956,157.615,188.824
193.217,158.98,188.784
191.397,160.266,188.746
189.504,161.469,188.71
187.54,162.581,188.672
185.509,163.595,188.636
